region,distributor,counter_type,day_time_type,rate_occurrence,cost_type,,kva_range_low,kva_range_high,amount_eur,amount_eur_tincl,time_of_day_start,time_of_day_end,date_start,date_end
vl,fluvius_iverlek,comm,night_excl,per_kwh,distribution_night_excl,,,,0.03264150943,0.0346,22:00:00 ,06:00:00 , 2024-01-01, 2024-12-31
vl,fluvius_iverlek,classic,,annual,capacity,,,,98.87735849,104.81,,, 2024-01-01, 2024-12-31
vl,fluvius_iverlek,classic,simple,per_kwh,distribution_simple,Tarif de prélèvement normal,,,0.06735849057,0.0714,06:00:00 ,22:00:00 , 2024-01-01, 2024-12-31
vl,fluvius_iverlek,classic,night_excl,per_kwh,distribution_night_excl,Tarif de prélèvement nuit,,,0.05669811321,0.0601,22:00:00 ,06:00:00 , 2024-01-01, 2024-12-31
vl,fluvius_iverlek,classic,,annual_per_kw,prosumer,Tarif prosumer,,,45.47169811,48.2,,, 2024-01-01, 2024-12-31
vl,fluvius_pbe,,,annual,management,Tarif de gestion des données,,,13.16037736,13.95,,, 2024-01-01, 2024-12-31
vl,fluvius_pbe,comm,,annual_per_kw,capacity,Tarif de capacité,,,53.38679245,56.59,,, 2024-01-01, 2024-12-31
vl,fluvius_pbe,comm,simple,per_kwh,distribution_simple,,,,0.04443396226,0.0471,06:00:00 ,22:00:00 , 2024-01-01, 2024-12-31
vl,fluvius_pbe,comm,night_excl,per_kwh,distribution_night_excl,,,,0.0358490566,0.038,22:00:00 ,06:00:00 , 2024-01-01, 2024-12-31
vl,fluvius_pbe,classic,,annual,capacity,,,,133.4716981,141.48,,, 2024-01-01, 2024-12-31
vl,fluvius_pbe,classic,simple,per_kwh,distribution_simple,Tarif de prélèvement normal,,,0.07669811321,0.0813,06:00:00 ,22:00:00 , 2024-01-01, 2024-12-31
vl,fluvius_pbe,classic,night_excl,per_kwh,distribution_night_excl,Tarif de prélèvement nuit,,,0.06811320755,0.0722,22:00:00 ,06:00:00 , 2024-01-01, 2024-12-31
vl,fluvius_pbe,classic,,annual_per_kw,prosumer,Tarif prosumer,,,51.80188679,54.91,,, 2024-01-01, 2024-12-31
vl,fluvius_sibelgas,,,annual,management,Tarif de gestion des données,,,13.16037736,13.95,,, 2024-01-01, 2024-12-31
vl,fluvius_sibelgas,comm,,annual_per_kw,capacity,Tarif de capacité,,,43.87735849,46.51,,, 2024-01-01, 2024-12-31
vl,fluvius_sibelgas,comm,simple,per_kwh,distribution_simple,,,,0.04971698113,0.0527,06:00:00 ,22:00:00 , 2024-01-01, 2024-12-31
vl,fluvius_sibelgas,comm,night_excl,per_kwh,distribution_night_excl,,,,0.03735849057,0.0396,22:00:00 ,06:00:00 , 2024-01-01, 2024-12-31
vl,fluvius_sibelgas,classic,,annual,capacity,,,,109.6981132,116.28,,, 2024-01-01, 2024-12-31
vl,fluvius_sibelgas,classic,simple,per_kwh,distribution_simple,Tarif de prélèvement normal,,,0.07424528302,0.0787,06:00:00 ,22:00:00 , 2024-01-01, 2024-12-31
vl,fluvius_sibelgas,classic,night_excl,per_kwh,distribution_night_excl,Tarif de prélèvement nuit,,,0.06188679245,0.0656,22:00:00 ,06:00:00 , 2024-01-01, 2024-12-31
vl,fluvius_sibelgas,classic,,annual_per_kw,prosumer,Tarif prosumer,,,50.18867925,53.2,,, 2024-01-01, 2024-12-31
vl,fluvius_antwerpen,,,annual,management,Tarif de gestion des données,,,13.16037736,13.95,,, 2024-01-01, 2024-12-31
vl,fluvius_antwerpen,comm,,annual_per_kw,capacity,Tarif de capacité,,,37.96226415,40.24,,, 2024-01-01, 2024-12-31
vl,fluvius_antwerpen,comm,simple,per_kwh,distribution_simple,,,,0.04330188679,0.0459,06:00:00 ,22:00:00 , 2024-01-01, 2024-12-31
vl,fluvius_antwerpen,comm,night_excl,per_kwh,distribution_night_excl,,,,0.03216981132,0.0341,22:00:00 ,06:00:00 , 2024-01-01, 2024-12-31
vl,fluvius_antwerpen,classic,,annual,capacity,,,,94.90566038,100.6,,, 2024-01-01, 2024-12-31
vl,fluvius_antwerpen,classic,simple,per_kwh,distribution_simple,Tarif de prélèvement normal,,,0.06405660377,0.0679,06:00:00 ,22:00:00 , 2024-01-01, 2024-12-31
vl,fluvius_antwerpen,classic,night_excl,per_kwh,distribution_night_excl,Tarif de prélèvement nuit,,,0.05283018868,0.056,22:00:00 ,06:00:00 , 2024-01-01, 2024-12-31
vl,fluvius_antwerpen,classic,,annual_per_kw,prosumer,Tarif prosumer,,,43.25471698,45.85,,, 2024-01-01, 2024-12-31
vl,fluvius_limburg,,,annual,management,Tarif de gestion des données,,,13.16037736,13.95,,, 2024-01-01, 2024-12-31
vl,fluvius_limburg,comm,,annual_per_kw,capacity,Tarif de capacité,,,38.97169811,41.31,,, 2024-01-01, 2024-12-31
vl,fluvius_limburg,comm,simple,per_kwh,distribution_simple,,,,0.0508490566,0.0539,06:00:00 ,22:00:00 , 2024-01-01, 2024-12-31
vl,fluvius_limburg,comm,night_excl,per_kwh,distribution_night_excl,,,,0.03801886792,0.0403,22:00:00 ,06:00:00 , 2024-01-01, 2024-12-31
vl,fluvius_limburg,classic,,annual,capacity,,,,97.43396226,103.28,,, 2024-01-01, 2024-12-31
vl,fluvius_limburg,classic,simple,per_kwh,distribution_simple,Tarif de prélèvement normal,,,0.07528301887,0.0798,06:00:00 ,22:00:00 , 2024-01-01, 2024-12-31
vl,fluvius_limburg,classic,night_excl,per_kwh,distribution_night_excl,Tarif de prélèvement nuit,,,0.06245283019,0.0662,22:00:00 ,06:00:00 , 2024-01-01, 2024-12-31
vl,fluvius_limburg,classic,,annual_per_kw,prosumer,Tarif prosumer,,,50.83962264,53.89,,, 2024-01-01, 2024-12-31
vl,fluvius_west,,,annual,management,Tarif de gestion des données,,,13.16037736,13.95,,, 2024-01-01, 2024-12-31
vl,fluvius_west,comm,,annual_per_kw,capacity,Tarif de capacité,,,41.80188679,44.31,,, 2024-01-01, 2024-12-31
vl,fluvius_west,comm,simple,per_kwh,distribution_simple,,,,0.04547169811,0.0482,06:00:00 ,22:00:00 , 2024-01-01, 2024-12-31
vl,fluvius_west,comm,night_excl,per_kwh,distribution_night_excl,,,,0.03433962264,0.0364,22:00:00 ,06:00:00 , 2024-01-01, 2024-12-31
vl,fluvius_west,classic,,annual,capacity,,,,104.490566,110.76,,, 2024-01-01, 2024-12-31
vl,fluvius_west,classic,simple,per_kwh,distribution_simple,Tarif de prélèvement normal,,,0.07037735849,0.0746,06:00:00 ,22:00:00 , 2024-01-01, 2024-12-31
vl,fluvius_west,classic,night_excl,per_kwh,distribution_night_excl,Tarif de prélèvement nuit,,,0.05924528302,0.0628,22:00:00 ,06:00:00 , 2024-01-01, 2024-12-31
vl,fluvius_west,classic,,annual_per_kw,prosumer,Tarif prosumer,,,47.51886792,50.37,,, 2024-01-01, 2024-12-31
wal,aieg,,simple,per_kwh,distribution_simple,Coûts de distribution - Simple,,,0.07386792453,0.0783,,, 2024-01-01, 2024-12-31
wal,aieg,,day,per_kwh,distribution_day,Coûts de distribution - Jour,,,0.07735849057,0.082,06:00:00 ,22:00:00 , 2024-01-01, 2024-12-31
wal,aieg,,night,per_kwh,distribution_night,Coûts de distribution - Nuit,,,0.05952830189,0.0631,22:00:00 ,06:00:00 , 2024-01-01, 2024-12-31
wal,aieg,,night_excl,per_kwh,distribution_night_excl,Coûts de distribution - Exclusif nuit,,,0.05216981132,0.0553,22:00:00 ,06:00:00 , 2024-01-01, 2024-12-31
wal,aieg,,,per_kwh,transport,Coûts de transport,,,0.02556603774,0.0271,,, 2024-01-01, 2024-12-31
wal,aieg,,,annual,management,"Tarif gestion des données/
Activités de mesure et de
comptage/Terme fixe ",,,24.04716981,25.49,,, 2024-01-01, 2024-12-31
wal,aieg,,,annual_per_kw,prosumer,Tarif prosumer,,,55.67924528,59.02,,, 2024-01-01, 2024-12-31
wal,aiesh,,simple,per_kwh,distribution_simple,Coûts de distribution - Simple,,,0.1122641509,0.119,,, 2024-01-01, 2024-12-31
wal,aiesh,,day,per_kwh,distribution_day,Coûts de distribution - Jour,,,0.1154716981,0.1224,06:00:00 ,22:00:00 , 2024-01-01, 2024-12-31
wal,aiesh,,night,per_kwh,distribution_night,Coûts de distribution - Nuit,,,0.0691509434,0.0733,22:00:00 ,06:00:00 , 2024-01-01, 2024-12-31
wal,aiesh,,night_excl,per_kwh,distribution_night_excl,Coûts de distribution - Exclusif nuit,,,0.06264150943,0.0664,22:00:00 ,06:00:00 , 2024-01-01, 2024-12-31
wal,aiesh,,,per_kwh,transport,Coûts de transport,,,0.02556603774,0.0271,,, 2024-01-01, 2024-12-31
wal,aiesh,,,annual,management,"Tarif gestion des données/
Activités de mesure et de
comptage/Terme fixe ",,,17,18.02,,, 2024-01-01, 2024-12-31
wal,aiesh,,,annual_per_kw,prosumer,Tarif prosumer,,,77.51886792,82.17,,, 2024-01-01, 2024-12-31
wal,ores_brabant_wallon,,simple,per_kwh,distribution_simple,Coûts de distribution - Simple,,,0.08556603774,0.0907,,, 2024-01-01, 2024-12-31
wal,ores_brabant_wallon,,day,per_kwh,distribution_day,Coûts de distribution - Jour,,,0.0908490566,0.0963,06:00:00 ,22:00:00 , 2024-01-01, 2024-12-31
wal,ores_brabant_wallon,,night,per_kwh,distribution_night,Coûts de distribution - Nuit,,,0.05339622642,0.0566,22:00:00 ,06:00:00 , 2024-01-01, 2024-12-31
wal,ores_brabant_wallon,,night_excl,per_kwh,distribution_night_excl,Coûts de distribution - Exclusif nuit,,,0.04386792453,0.0465,22:00:00 ,06:00:00 , 2024-01-01, 2024-12-31
wal,ores_brabant_wallon,,,per_kwh,transport,Coûts de transport,,,0.02556603774,0.0271,,, 2024-01-01, 2024-12-31
wal,ores_brabant_wallon,,,annual,management,"Tarif gestion des données/
Activités de mesure et de
comptage/Terme fixe ",,,12.83018868,13.6,,, 2024-01-01, 2024-12-31
wal,ores_brabant_wallon,,,annual_per_kw,prosumer,Tarif prosumer,,,62.44339623,66.19,,, 2024-01-01, 2024-12-31
wal,ores_est,,simple,per_kwh,distribution_simple,Coûts de distribution - Simple,,,0.08556603774,0.0907,,, 2024-01-01, 2024-12-31
wal,ores_est,,day,per_kwh,distribution_day,Coûts de distribution - Jour,,,0.0908490566,0.0963,06:00:00 ,22:00:00 , 2024-01-01, 2024-12-31
wal,ores_est,,night,per_kwh,distribution_night,Coûts de distribution - Nuit,,,0.05339622642,0.0566,22:00:00 ,06:00:00 , 2024-01-01, 2024-12-31
wal,ores_est,,night_excl,per_kwh,distribution_night_excl,Coûts de distribution - Exclusif nuit,,,0.04386792453,0.0465,22:00:00 ,06:00:00 , 2024-01-01, 2024-12-31
wal,ores_est,,,per_kwh,transport,Coûts de transport,,,0.02556603774,0.0271,,, 2024-01-01, 2024-12-31
