supplier_contract,rate_occurrence,direction,day_time_type,amount_eur,tax_pct,date_start,date_end,dyn_market_source,dyn_market_mult,dyn_balance_eur_kwh
luminus_maxxflex_variable_2024_1,annual,,,61.3207,6,2024-09-01,2026-09-01,,,
luminus_maxxflex_variable_2024_1,per_kwh,consumer,simple,0.1122,6,2024-09-01,2026-09-01,,,
luminus_maxxflex_variable_2024_1,per_kwh,consumer,day,0.1236,6,2024-09-01,2026-09-01,,,
luminus_maxxflex_variable_2024_1,per_kwh,consumer,night,0.0983,6,2024-09-01,2026-09-01,,,
luminus_maxxflex_variable_2024_1,per_kwh,consumer,night_excl,0.0983,6,2024-09-01,2026-09-01,,,
luminus_maxxflex_variable_2024_1,per_kwh,producer,simple,0.0299,6,2024-09-01,2026-09-01,,,
luminus_maxxflex_variable_2024_1,per_kwh,producer,day,0.0392,6,2024-09-01,2026-09-01,,,
luminus_maxxflex_variable_2024_1,per_kwh,producer,night,0.0158,6,2024-09-01,2026-09-01,,,
