distributor,counter_type,peak_enabled,day_time_type,rate_occurrence,cost_type,amount_eur,tax_pct,time_of_day_start,time_of_day_end,kw_from,kw_to,date_start,date_end,,,
sibelga,simple,,,annual,management,259.96,21,,,,,2022-01-01,2022-02-28,,,
sibelga,simple,,day,per_kwh,distribution_day,0.0497790,21,7:00:00,22:00:00,,,2022-01-01,2022-02-28,,,
sibelga,simple,,night,per_kwh,distribution_night,0.0298690,21,22:00:00,7:00:00,,,2022-01-01,2022-02-28,,,
sibelga,simple,,,annual,distribution,26.71,21,,,0,13,2022-01-01,2022-02-28,if installed power  <= 13kVA,,
sibelga,simple,,,annual,distribution,53.41,21,,,13,,2022-01-01,2022-02-28,if installed power  > 13kVA,,
sibelga,,,,per_kwh,road_fee,0.0072420,21,,,,,2022-01-01,2022-02-28,,,
sibelga,,,,per_kwh,corp_tax,0.0040770,21,,,,,2022-01-01,2022-02-28,,,
sibelga,,,,per_kwh,other_tax,0.00100000,21,,,,,2022-01-01,2022-02-28,,,
sibelga,,,,per_kwh,public_service,0.011979,21,,,,,2022-01-01,2022-02-28,,,
sibelga,,,,per_kwh,transport,0.01126180,21,,,,,2022-01-01,2022-02-28,,,
sibelga,,,,monthly,accise,4.74801887,21,,,,,2022-01-01,2022-02-28,,4.748018868,5.03290
sibelga,,,,per_kwh,energy_contribution,0.00192642,21,,,,,2022-01-01,2022-02-28,,0.001926415094,0.0020420
sibelga,,,,per_kwh,green_certs,0.02669811,21,,,,,2022-01-01,2022-02-28,,0.02669811321,0.0283
,,,,,,,,,,,,,,,,
sibelga,smart,false,,annual,management,10.25,6,,,,,2022-03-01,2022-12-31,,,
sibelga,smart,false,day,per_kwh,distribution_day,0.0497790,6,7:00:00,22:00:00,,,2022-03-01,2022-12-31,,,
sibelga,smart,false,night,per_kwh,distribution_night,0.0298690,6,22:00:00,7:00:00,,,2022-03-01,2022-12-31,,,
sibelga,smart,false,,annual,distribution,26.71,6,,,0,13,2022-03-01,2022-12-31,if installed power  <= 13kVA,,
sibelga,smart,false,,annual,distribution,53.41,6,,,13,,2022-03-01,2022-12-31,if installed power  > 13kVA,,
sibelga,smart,true,,annual,management,519.92,6,,,,,2022-03-01,2022-12-31,,,
sibelga,smart,true,day,per_kwh,distribution_day,0.0199120,6,7:00:00,22:00:00,,,2022-03-01,2022-12-31,,,
sibelga,smart,true,night,per_kwh,distribution_night,0.0057940,6,22:00:00,7:00:00,,,2022-03-01,2022-12-31,,,
sibelga,smart,true,,annual_per_kw,peak,57.8839800,6,,,,,2022-03-01,2022-12-31,monthly peak,,
sibelga,simple,,,annual,management,259.96,6,,,,,2022-03-01,2022-12-31,,,
sibelga,simple,,day,per_kwh,distribution_day,0.0497790,6,7:00:00,22:00:00,,,2022-03-01,2022-12-31,,,
sibelga,simple,,night,per_kwh,distribution_night,0.0298690,6,22:00:00,7:00:00,,,2022-03-01,2022-12-31,,,
