slug,name_en,name_fr,name_nl
fluvius_csv,Fluvius CSV,Fluvius CSV,Fluvius CSV
ores_xlsx,Ores XLSX,Ores XLSX,Ores XLSX
resa_consumed_csv,Resa consumed,Consommation Resa,Resa consumptie
resa_injected_csv,Resa injected,Injection Resa,Resa injectie
